STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,VERSION,Version,TIME_PERIOD,Time period,OBS_VALUE,Observation value,CONF_STATUS,Confidentiality status,DECIMALS,Decimals,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,DEU,Germany,EPL_T,Temporary contracts,0_TO_6,0-6 scale,VERSION1,Version 1 (1985-2019),2011,,1,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,FRA,France,EPL_R,Individual dismissals (regular contracts),0_TO_6,0-6 scale,VERSION1,Version 1 (1985-2019),1997,,2.515872955,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,ESP,Spain,EPL_R,Individual dismissals (regular contracts),0_TO_6,0-6 scale,VERSION1,Version 1 (1985-2019),1996,,2.357142925,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,ITA,Italy,EPL_R,Individual dismissals (regular contracts),0_TO_6,0-6 scale,VERSION1,Version 1 (1985-2019),1996,,3.015872955,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,DEU,Germany,EPL_R,Individual dismissals (regular contracts),0_TO_6,0-6 scale,VERSION1,Version 1 (1985-2019),1996,,2.595238209,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,FRA,France,EPL_R,Individual dismissals (regular contracts),0_TO_6,0-6 scale,VERSION1,Version 1 (1985-2019),1996,,2.515872955,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,ESP,Spain,EPL_R,Individual dismissals (regular contracts),0_TO_6,0-6 scale,VERSION1,Version 1 (1985-2019),1995,,2.357142925,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,ITA,Italy,EPL_R,Individual dismissals (regular contracts),0_TO_6,0-6 scale,VERSION1,Version 1 (1985-2019),1995,,3.015872955,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,DEU,Germany,EPL_R,Individual dismissals (regular contracts),0_TO_6,0-6 scale,VERSION1,Version 1 (1985-2019),1995,,2.595238209,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,FRA,France,EPL_R,Individual dismissals (regular contracts),0_TO_6,0-6 scale,VERSION1,Version 1 (1985-2019),1995,,2.515872955,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,DEU,Germany,EPL_R,Individual dismissals (regular contracts),0_TO_6,0-6 scale,VERSION1,Version 1 (1985-2019),2002,,2.595238209,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,FRA,France,EPL_R,Individual dismissals (regular contracts),0_TO_6,0-6 scale,VERSION1,Version 1 (1985-2019),2002,,2.579365015,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,ESP,Spain,EPL_R,Individual dismissals (regular contracts),0_TO_6,0-6 scale,VERSION1,Version 1 (1985-2019),2001,,2.357142925,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,ITA,Italy,EPL_R,Individual dismissals (regular contracts),0_TO_6,0-6 scale,VERSION1,Version 1 (1985-2019),2001,,3.015872955,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,DEU,Germany,EPL_R,Individual dismissals (regular contracts),0_TO_6,0-6 scale,VERSION1,Version 1 (1985-2019),2001,,2.595238209,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,FRA,France,EPL_R,Individual dismissals (regular contracts),0_TO_6,0-6 scale,VERSION1,Version 1 (1985-2019),2001,,2.579365015,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,ESP,Spain,EPL_R,Individual dismissals (regular contracts),0_TO_6,0-6 scale,VERSION1,Version 1 (1985-2019),2000,,2.357142925,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,ITA,Italy,EPL_R,Individual dismissals (regular contracts),0_TO_6,0-6 scale,VERSION1,Version 1 (1985-2019),2000,,3.015872955,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,DEU,Germany,EPL_R,Individual dismissals (regular contracts),0_TO_6,0-6 scale,VERSION1,Version 1 (1985-2019),2000,,2.595238209,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,FRA,France,EPL_R,Individual dismissals (regular contracts),0_TO_6,0-6 scale,VERSION1,Version 1 (1985-2019),2000,,2.579365015,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,ESP,Spain,EPL_R,Individual dismissals (regular contracts),0_TO_6,0-6 scale,VERSION1,Version 1 (1985-2019),1999,,2.357142925,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,ITA,Italy,EPL_R,Individual dismissals (regular contracts),0_TO_6,0-6 scale,VERSION1,Version 1 (1985-2019),1999,,3.015872955,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,DEU,Germany,EPL_R,Individual dismissals (regular contracts),0_TO_6,0-6 scale,VERSION1,Version 1 (1985-2019),1999,,2.595238209,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,FRA,France,EPL_R,Individual dismissals (regular contracts),0_TO_6,0-6 scale,VERSION1,Version 1 (1985-2019),1999,,2.579365015,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,ESP,Spain,EPL_R,Individual dismissals (regular contracts),0_TO_6,0-6 scale,VERSION1,Version 1 (1985-2019),1998,,2.357142925,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,ITA,Italy,EPL_R,Individual dismissals (regular contracts),0_TO_6,0-6 scale,VERSION1,Version 1 (1985-2019),1998,,3.015872955,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,DEU,Germany,EPL_R,Individual dismissals (regular contracts),0_TO_6,0-6 scale,VERSION1,Version 1 (1985-2019),1998,,2.595238209,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,FRA,France,EPL_R,Individual dismissals (regular contracts),0_TO_6,0-6 scale,VERSION1,Version 1 (1985-2019),1998,,2.515872955,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,ESP,Spain,EPL_R,Individual dismissals (regular contracts),0_TO_6,0-6 scale,VERSION1,Version 1 (1985-2019),1997,,2.357142925,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,ITA,Italy,EPL_R,Individual dismissals (regular contracts),0_TO_6,0-6 scale,VERSION1,Version 1 (1985-2019),1997,,3.015872955,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,DEU,Germany,EPL_R,Individual dismissals (regular contracts),0_TO_6,0-6 scale,VERSION1,Version 1 (1985-2019),1997,,2.595238209,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,DEU,Germany,EPL_R,Individual dismissals (regular contracts),0_TO_6,0-6 scale,VERSION1,Version 1 (1985-2019),2013,,2.595238209,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,FRA,France,EPL_R,Individual dismissals (regular contracts),0_TO_6,0-6 scale,VERSION1,Version 1 (1985-2019),2013,,2.496031761,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,ESP,Spain,EPL_R,Individual dismissals (regular contracts),0_TO_6,0-6 scale,VERSION1,Version 1 (1985-2019),2012,,2.214285612,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,ITA,Italy,EPL_R,Individual dismissals (regular contracts),0_TO_6,0-6 scale,VERSION1,Version 1 (1985-2019),2012,,3.015872955,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,DEU,Germany,EPL_R,Individual dismissals (regular contracts),0_TO_6,0-6 scale,VERSION1,Version 1 (1985-2019),2012,,2.595238209,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,FRA,France,EPL_R,Individual dismissals (regular contracts),0_TO_6,0-6 scale,VERSION1,Version 1 (1985-2019),2012,,2.496031761,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,ESP,Spain,EPL_R,Individual dismissals (regular contracts),0_TO_6,0-6 scale,VERSION1,Version 1 (1985-2019),2011,,2.214285612,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,ITA,Italy,EPL_R,Individual dismissals (regular contracts),0_TO_6,0-6 scale,VERSION1,Version 1 (1985-2019),2011,,3.015872955,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,DEU,Germany,EPL_R,Individual dismissals (regular contracts),0_TO_6,0-6 scale,VERSION1,Version 1 (1985-2019),2011,,2.595238209,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,FRA,France,EPL_R,Individual dismissals (regular contracts),0_TO_6,0-6 scale,VERSION1,Version 1 (1985-2019),2011,,2.496031761,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,ESP,Spain,EPL_R,Individual dismissals (regular contracts),0_TO_6,0-6 scale,VERSION1,Version 1 (1985-2019),2010,,2.357142925,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,ITA,Italy,EPL_R,Individual dismissals (regular contracts),0_TO_6,0-6 scale,VERSION1,Version 1 (1985-2019),2010,,3.015872955,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,DEU,Germany,EPL_R,Individual dismissals (regular contracts),0_TO_6,0-6 scale,VERSION1,Version 1 (1985-2019),2010,,2.595238209,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,FRA,France,EPL_R,Individual dismissals (regular contracts),0_TO_6,0-6 scale,VERSION1,Version 1 (1985-2019),2010,,2.496031761,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,ESP,Spain,EPL_R,Individual dismissals (regular contracts),0_TO_6,0-6 scale,VERSION1,Version 1 (1985-2019),2009,,2.357142925,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,ITA,Italy,EPL_R,Individual dismissals (regular contracts),0_TO_6,0-6 scale,VERSION1,Version 1 (1985-2019),2009,,3.015872955,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,DEU,Germany,EPL_R,Individual dismissals (regular contracts),0_TO_6,0-6 scale,VERSION1,Version 1 (1985-2019),2009,,2.595238209,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,FRA,France,EPL_R,Individual dismissals (regular contracts),0_TO_6,0-6 scale,VERSION1,Version 1 (1985-2019),2009,,2.496031761,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,ESP,Spain,EPL_R,Individual dismissals (regular contracts),0_TO_6,0-6 scale,VERSION1,Version 1 (1985-2019),2008,,2.357142925,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,ITA,Italy,EPL_R,Individual dismissals (regular contracts),0_TO_6,0-6 scale,VERSION1,Version 1 (1985-2019),2008,,3.015872955,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,DEU,Germany,EPL_R,Individual dismissals (regular contracts),0_TO_6,0-6 scale,VERSION1,Version 1 (1985-2019),2008,,2.595238209,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,FRA,France,EPL_R,Individual dismissals (regular contracts),0_TO_6,0-6 scale,VERSION1,Version 1 (1985-2019),2008,,2.579365015,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,ESP,Spain,EPL_R,Individual dismissals (regular contracts),0_TO_6,0-6 scale,VERSION1,Version 1 (1985-2019),2007,,2.357142925,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,ITA,Italy,EPL_R,Individual dismissals (regular contracts),0_TO_6,0-6 scale,VERSION1,Version 1 (1985-2019),2007,,3.015872955,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,DEU,Germany,EPL_R,Individual dismissals (regular contracts),0_TO_6,0-6 scale,VERSION1,Version 1 (1985-2019),2007,,2.595238209,,F,Free (free for publication),2,Two,A,Normal value,0,Units
